sbjnum,filter,date,srvyr,sbjnam,usrunq,duration,upload,subjdata,rvwtime,rvwcomment,srvyrcomment,complete,stopq,test,parentid,status,utcdiff,qascore,frscname,exrenum,vstart,vend,rvwname,cancel,srvtype,country,endstatus,uid,language,s06,s06a,s06a_s,s07,s08_o1,s08_o2,s08_o3,s08_o4,s08_o5,s08_o6,s08_o7,s08_o8,s08_o9,s08_o10,s08_o11,s08_o12,s08_o13,s08_o14,s08_o15,s08_o16,s08_o17,s08_o18,s08_o19,s08_o20,s08_98,s09,s10,a01,main_hv,t_a02_1,t_a02_2,t_a02_3,a04,a05,a09_o1,a09_o2,a09_o3,a09_o4,a09_o5,a09_o6,a09_98,t_a10_7,t_a10_8,t_a10_5,t_a10_9,t_a10_4,t_a11_1,t_a11_2,x01,x02,x03,x04,x11_timestamp,x11_blk,i_1_x11_c0,i_2_x11_c0,i_3_x11_c0,i_4_x11_c0,i_5_x11_c0,i_6_x11_c0,i_7_x11_c0,i_8_x11_c0,i_9_x11_c0,i_10_x11_c0,i_11_x11_c0,i_12_x11_c0,i_13_x11_c0,i_14_x11_c0,i_15_x11_c0,i_16_x11_c0,i_17_x11_c0,i_18_x11_c0,i_19_x11_c0,i_20_x11_c0,i_21_x11_c0,i_22_x11_c0,i_23_x11_c0,i_24_x11_c0,i_25_x11_c0,i_26_x11_c0,i_27_x11_c0,i_28_x11_c0,i_29_x11_c0,i_30_x11_c0,i_31_x11_c0,i_32_x11_c0,i_33_x11_c0,i_34_x11_c0,i_35_x11_c0,i_36_x11_c0,i_37_x11_c0,i_38_x11_c0,i_39_x11_c0,i_40_x11_c0,t_x23_1,t_x23_2,t_x23_3,t_x23_4,t_x23_5,b05,b08_randomization,b08,t_b10_1,t_b10_2,t_b10_3,t_b10_4,b11,b12,b13,c01_timestamp,c01,c01a,t_c02_1,t_c02_2,t_c02_3,t_c02_7,t_c03_2,t_c03_4,t_c03_5,t_c03_6,t_c03_7,c03_attention,t_c04_1,t_c04_2,t_c04_3,t_c04_5,t_c04_6,t_c04_8,t_c05_1,t_c05_3,t_c05_4,t_c05_6,t_c05_7,t_d08a_1,t_d08a_2,t_d08a_7,t_d08a_8,t_d08a_9,t_d08a_10,t_d08a_11,t_d08a_12,t_d08a_13,t_d08a_14,t_d08a_21,t_d08a_22,t_d08a_23,t_d08a_24,t_d08a_25,t_d08a_26,t_d08a_27,d11,d12,d12_txt1,d12_txt2,d13_order,d13,e01,intro_e02,e02,e03,e04,e04a,t_e05_1,t_e05_4,t_e05_5,t_e05_6,e05_attention,e06_1,t_e06_2_1,t_e06_2_2,t_e08_1,t_e08_2,e09,e10_o1,e10_o2,e10_o3,e10_o4,s_e10_1,s_e10_2,s_e10_3,e10_more_hv,e11,e14,f03,f04_o1,f04_o2,f04_o3,f04_o4,f04_o5,f04_o6,f04_o7,f04_o8,f04_o9,f04_o10,f04_o11,s_f04_98,f05_o1,f05_o2,f05_o3,f05_o4,f05_o5,f05_o6,s_f05_98,t_f06_1,t_f06_2,f08_o1,f08_o2,f08_o3,f08_o4,f08_o5,f08_o6,f08_o7,f08_o8,f08_o9,f08_o10,f08_o11,s_f08_98,f10,total_int_time,s08_1,s08_2,s08_3,s08_4,s08_5,s08_6,s08_7,s08_8,s08_9,s08_10,s08_95,s08_96,s08_97,s08_99,main_method,age_cat,multiple_sex_partners_v1,willing_to_use,condom_use,caseid,weight,qual,sample_source,p_id2021,surv_lang,device,gender,racethnicity,educ5,marital,employ,income,income4,income9,state,region4,region9,metro,internet,housing,home_type,phoneservice,hhsize,hh01,hh25,hh612,hh1317,hh18ov,a09_5,a09_7,a09_8,a09_97,a09_99,tot_children,desired_children,hhd_size,f04_o1_recode,f04_o2_recode,f04_o3_recode,f04_o4_recode,_merge
184238601,-1,05-12-2023 10:28,STGAutoWebSurveyor,409121,64B539BG,00:11:31,05-12-2023 10:40,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-7,,,,05-12-2023 10:28,05-12-2023 10:40,N/A,-1,2,8,1,409121,1,33,1,,1,9,6,,,,,,,,,,,,,,,,,,,,1,2,6,6,,,,,1,8,5,,,,,,,1,2,5,5,,,9,9,9,9,05-12-2023 08:01,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,3,3,3,3,3,3,3,1,4,1,1,1,3,2,1,2,2,4,5,6,,1,05-12-2023 08:05,1,3,2,1,1,1,1,1,1,4,,1,2,1,5,4,2,4,1,2,1,2,1,,,,,,,,,,,1,1,1,2,1,2,2,50,100,,,1,2,6,,1,,4,28,5,1,5,,1,,3,3,1,1,1,1,2,,,1,1,,2,,2,1,1,,,,,,,,,,,,2,,,,,,,3,2,3,,,,,,,,,,,,2,11.533334,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,2,0,2,0,17921,1.604921547,1,1, ,1,Smartphone,1,2,4,1,1,14,4,8,WA,4,9,1,1,1,1,4,4,1,1,0,0,2,1,0,1,0,0,2,2,5,,,,,3
184238632,-1,05-12-2023 10:30,STGAutoWebSurveyor,9931500,64B539BG,00:12:43,05-12-2023 10:43,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-6,,,,05-12-2023 10:30,05-12-2023 10:43,N/A,-1,2,8,1,9931500,1,42,1,,1,7,,,,,,,,,,,,,,,,,,,,,,,7,7,2,,,1,3,99,,,,,,,5,,,,,1,1,4,1,1,3,05-12-2023 08:03,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,2,3,3,1,2,2,5,5,4,5,5,1,2,1,4,3,3,4,3,4,3,05-12-2023 08:08,4,3,1,4,2,1,2,2,1,1,,1,1,1,5,1,1,1,3,2,1,3,2,,,,,,,,,,,1,1,1,1,1,2,2,35,80,,,2,3,8,,1,,5,41,5,1,2,,1,3,,,1,2,1,3,,,,,,4,1,1,1,1,1,,,,,,,,,,,,2,,,,,,,2,2,5,,,,,,,,,,,,1,12.733334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,0,3,1,14711,1.669536217,1,1,12865,1,Desktop,1,1,5,1,1,17,4,9,CO,4,8,1,1,1,1,4,4,0,1,1,0,2,0,0,0,0,1,3,4,4,,,,,3
184238675,-1,05-12-2023 10:33,STGAutoWebSurveyor,7320000,64B539BG,00:09:03,05-12-2023 10:42,This interview is fraud (too short)!,12/31/9999 11:59,,,1,118,0,,Requires Approval,-4,,,,05-12-2023 10:33,05-12-2023 10:42,N/A,-1,2,8,3,7320000,1,55,1,,1,98,,,,,,,,,,,,,,,,,,,,,,,98,98,,,,,1,7,,,,,,,4,,,,5,1,2,9,9,9,9,05-12-2023 08:06,2,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,2,2,99,4,2,2,2,99,,3,05-12-2023 08:07,3,3,1,1,4,3,1,1,1,1,,1,2,1,4,3,3,3,3,2,2,3,3,,,,,,,,,,,1,1,1,1,1,2,2,,,,,1,2,5,,1,,5,54,3,3,3,,1,3,,,3,0,1,97,,,,,,,3,,1,2,10,,,,,,,,,,,Courier,5,,,,,,,2,0,97,,,,,,,,,,,,2,9.0500002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98,4,0,1,0,17394,2.036046128,1,1,10512,1,Desktop,1,1,2,1,2,7,2,4,PA,1,2,1,1,1,1,3,2,0,0,0,0,1,0,1,0,0,0,3,0,2,10,,,,3
184238707,-1,05-12-2023 10:35,STGAutoWebSurveyor,6323977,64B539BG,00:09:56,05-12-2023 10:45,This interview is fraud (too short)!,12/31/9999 11:59,,,1,118,0,,Requires Approval,3,,,,05-12-2023 10:35,05-12-2023 10:45,N/A,-1,2,8,3,6323977,1,47,1,,5,7,,,,,,,,,,,,,,,,,,,,,,,7,7,1,,,2,1,8,,,,,,,3,5,,,,1,1,4,9,9,9,05-12-2023 08:08,2,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,99,2,2,2,2,99,,1,05-12-2023 08:11,1,3,2,2,2,5,2,2,2,2,,1,3,4,4,3,3,3,3,1,2,3,1,,,,,,,,,,,1,2,2,97,97,2,2,,,,,1,2,4,,1,,5,49,5,2,2,,1,3,,,0,2,1,2,,,,,3,,1,99,1,1,1,,,,,,,,,,,,5,,,,,,,3,1,97,,,,,,,,,,,,2,9.9499998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,1,1,1,19195,1.078177411,1,1,15517,1,Smartphone,1,1,5,1,2,15,4,8,CA,4,9,1,1,2,2,4,4, , , ,1,2,0,0,1,0,0,2,3,4,,,,,3
184238846,-1,05-12-2023 10:41,STGAutoWebSurveyor,4332188,64B539BG,00:12:42,05-12-2023 10:54,All steps are completed,12/31/9999 11:59,,,1,119,0,,Approved,-6,,,,05-12-2023 10:41,05-12-2023 10:54,N/A,-1,2,8,1,4332188,1,41,1,,1,7,8,,,,,,,,,,,,,,,,,,,,,,8,8,5,2,,3,1,97,,,,,,,3,5,,,,3,4,4,1,3,3,05-12-2023 08:14,3,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,1,,,,,,,,,,,4,3,2,3,2,3,1,2,2,3,3,4,4,3,2,05-12-2023 08:20,4,4,2,5,1,3,2,2,1,2,,1,3,2,4,3,2,3,3,2,3,3,3,,,,,,,,,,,2,97,1,97,2,2,2,75,100,,,2,1,8,,1,,5,51,4,1,4,,1,3,,,0,0,,97,,,,,,,3,,1,1,4,,,,,,,,,,,,2,,,,,,,2,0,99,,,,,,,,,,,,2,12.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,3,0,3,0,21126,1.053612713,1,1,16637,1,Smartphone,1,1,2,1,1,11,3,6,ID,4,8,1,1,1,1,4,2,0,0,0,0,2,0,0,,1,0,0,0,2,,,,,3
184238847,-1,05-12-2023 10:41,STGAutoWebSurveyor,6015165,64B539BG,00:18:13,05-12-2023 11:00,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,8,,,,05-12-2023 10:41,05-12-2023 11:00,N/A,-1,2,8,1,6015165,1,60,1,,1,99,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,2,7,,,,,,,1,,,,,5,5,9,9,9,1,05-12-2023 08:15,3,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,1,4,3,1,3,3,2,99,2,3,3,3,5,,1,05-12-2023 08:20,3,3,2,2,3,2,1,2,1,3,,1,1,1,5,1,1,1,3,1,2,2,2,,,,,,,,,,,2,2,2,2,2,2,2,0,0,,,2,3,2,,1,,3,42,5,1,4,,1,3,,,1,4,1,1,2,,,3,3,,1,99,4,7,,,,,,,,,,,,,2,,,,,,,3,2,3,,,,,,,,,,,,2,18.216667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,4,0,2,0,17825,1.803837737,1,1, ,1,Smartphone,1,2,4,1,1,18,4,9,TX,3,7,1,1,1,3,4,3,0,0,0,0,3,0,1,0,0,0,5,6,5,,,,,3
184238918,-1,05-12-2023 10:47,STGAutoWebSurveyor,1158652,64B539BG,00:12:54,05-12-2023 11:00,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-7,,,,05-12-2023 10:47,05-12-2023 11:00,N/A,-1,2,8,1,1158652,1,60,1,,1,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,8,,,,,,5,4,,,,3,3,2,2,2,2,05-12-2023 08:21,1,1,2,1,3,3,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,4,3,1,99,3,3,3,2,5,,2,05-12-2023 08:25,4,3,2,2,2,4,2,2,2,2,,1,3,4,3,2,3,2,3,2,1,2,2,,,,,,,,,,,1,1,97,97,97,2,2,25,75,,,1,1,5,,6,2,,,4,3,4,,1,3,,,0,0,,97,,,,,,,3,,1,1,8,,,,,,,,,,,,2,,,,,,,1,0,3,,,,,,,,,,,,1,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,4,0,2,0,21015,1.365736878,1,1,20687,1,Desktop,1,1,5,5,4,9,2,5,CA,4,9,1,1,2,3,3,1,0,0,0,0,1,0,1,1,0,0,0,0,1,,,,,3
184239121,-1,05-12-2023 10:58,STGAutoWebSurveyor,2404889,64B539BG,00:08:46,05-12-2023 11:07,This interview is fraud (too short)!,12/31/9999 11:59,,,1,118,0,,Requires Approval,-5,,,,05-12-2023 10:58,05-12-2023 11:07,N/A,-1,2,8,3,2404889,1,47,1,,1,8,,,,,,,,,,,,,,,,,,,,,,,8,8,,1,,,1,98,,,,,,,3,4,,,,1,4,9,1,1,2,05-12-2023 08:31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,1,1,2,1,4,4,3,3,3,3,2,99,3,3,3,3,5,,1,05-12-2023 08:33,4,4,3,3,3,3,3,3,3,3,,1,3,3,3,3,3,3,3,2,2,2,3,,,,,,,,,,,1,1,1,1,1,1,1,10,25,,,1,1,2,,3,1,5,40,3,3,3,,1,3,,,2,3,2,97,,,,,,,3,,1,1,7,,,,,,,,,,,,2,,,,,,,2,2,2,,,,,,,,,,,,2,8.7666664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,0,2,0,17420,0.551779707,1,1,14416,1,Smartphone,1,4,3,3,1,14,4,8,IL,2,3,1,1,1,1,4,5,0,1,1,0,3,0,1,,0,0,5,0,4,,,,,3
184239170,-1,05-12-2023 11:01,STGAutoWebSurveyor,3634719,64B539BG,00:29:56,05-12-2023 11:31,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-7,,,,05-12-2023 11:01,05-12-2023 11:31,N/A,-1,2,8,1,3634719,1,36,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,1,7,,,,,,,4,,,,5,5,5,1,2,2,1,05-12-2023 08:50,3,,,,,,,,,,,,,,,,,,,,,3,3,3,1,2,2,3,1,3,3,,,,,,,,,,,3,4,4,3,3,1,2,1,4,4,4,4,3,,2,05-12-2023 08:56,3,4,2,2,3,2,1,2,4,2,,1,2,2,4,2,3,2,3,2,2,3,3,,,,,,,,,,,1,2,2,1,1,2,2,3,35,,,1,2,3,,6,1,5,32,4,2,2,,1,4,,,0,0,,1,2,,,1,1,,1,3,1,1,1,,,,,,,,,,,,2,,,,,,,2,,97,,,,,,,,,,,,1,29.950001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,13494,1.919495118,1,1,18173,1,Smartphone,1,1,5,5,1,18,4,9,WA,4,9,1,1,1,2,4,2,0,0,0,0,2,0,1,0,0,0,0,2,2,,,,,3
184239173,-1,05-12-2023 11:01,STGAutoWebSurveyor,5898210,64B539BG,00:39:50,05-12-2023 11:42,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-5,,,,05-12-2023 11:01,05-12-2023 11:41,N/A,-1,2,8,1,5898210,1,50,1,,3,7,8,,,,,,,,,,,,,,,,,,,,,,8,8,2,1,,2,1,97,,,,,,,5,5,,,,5,5,4,3,3,3,05-12-2023 08:39,2,,,,,,,,,,,3,3,3,3,3,3,2,3,3,1,,,,,,,,,,,,,,,,,,,,,1,3,1,3,1,3,2,99,1,1,1,1,5,4,1,05-12-2023 08:43,3,3,2,2,2,2,3,2,2,3,,1,4,2,5,4,4,3,3,1,2,2,1,,,,,,,,,,,1,1,1,1,1,2,2,25,38,,,2,2,3,,4,1,5,36,5,3,5,,1,2,,,0,1,1,97,,,,,,,3,,2,6,,,,,,,,,,,,,3,5,,,,,,2,2,97,,,,,,,,,,,,1,39.849998,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,4,1,2,0,19459,0.4444904,1,1, ,1,Desktop,1,2,3,5,7,1,1,1,TN,3,6,0,1,1,1,4,1,0,0,0,0,1,0,0,,1,0,1,0,4,,,,,3
184239313,-1,05-12-2023 11:09,STGAutoWebSurveyor,5798865,64B539BG,00:09:49,05-12-2023 11:19,This interview is fraud (too short)!,12/31/9999 11:59,,,1,118,0,,Requires Approval,-4,,,,05-12-2023 11:09,05-12-2023 11:18,N/A,-1,2,8,3,5798865,1,25,1,,1,7,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,3,1,99,,,,,,,3,,,,5,4,4,2,1,1,2,05-12-2023 08:41,2,,,,,,,,,,,1,1,1,3,3,1,3,3,3,2,,,,,,,,,,,,,,,,,,,,,4,4,3,4,4,2,1,2,3,4,4,4,3,3,1,05-12-2023 08:45,3,5,1,1,1,1,1,1,1,1,,1,1,3,5,3,1,3,3,1,1,3,1,,,,,,,,,,,1,1,1,1,1,2,2,50,150,,,2,1,4,,6,2,,,4,1,5,,1,3,,,0,0,,97,,,,,,,3,,1,4,,,,,,,,,,,,,2,,,,,,,4,,97,,,,,,,,,,,,2,9.8166666,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,3,0,19762,1.40235744,1,1,10675,1,Smartphone,1,1,4,5,4,18,4,9,VA,3,5,1,1,2,2,4,4,0,0,0,0,4,0,0,0,0,1,0,0,4,,,,,3
184239524,-1,05-12-2023 11:20,STGAutoWebSurveyor,1744181,64B539BG,00:10:12,05-12-2023 11:30,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-4,,,,05-12-2023 11:20,05-12-2023 11:30,N/A,-1,2,8,1,1744181,1,58,1,,1,99,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,2,7,8,,,,,,5,3,,,,5,5,1,1,1,2,05-12-2023 08:52,1,1,2,2,2,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,4,3,2,99,3,2,2,3,1,,1,05-12-2023 08:56,3,3,3,2,2,3,2,2,2,2,,1,4,2,4,2,2,3,2,1,2,1,2,,,,,,,,,,,1,1,1,1,1,1,1,25,50,,,1,1,4,,1,,5,62,4,3,3,,1,3,,,2,1,2,1,,,,2,,,2,,2,7,,,,,,,,,,,,,2,,,,,,,1,0,3,,,,,,,,,,,,2,10.216666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,4,0,3,0,17567,1.725766346,1,1, ,1,Smartphone,1,2,2,1,1,14,4,8,NY,1,2,1,1,2,3,4,3,0,0,0,1,2,0,1,1,0,0,3,2,1,,,,,3
184239645,-1,05-12-2023 11:29,STGAutoWebSurveyor,5467400,64B539BG,00:14:30,05-12-2023 11:43,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-7,,,,05-12-2023 11:29,05-12-2023 11:43,N/A,-1,2,8,1,5467400,1,28,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,1,99,,,,,,,,,,,5,2,4,2,2,2,2,05-12-2023 09:01,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,1,3,2,2,2,1,4,4,3,4,4,3,1,1,3,3,3,4,6,,2,05-12-2023 09:07,4,4,2,1,2,3,3,1,1,1,,1,3,3,5,3,2,3,2,1,2,2,1,,,,,,,,,,,1,1,1,1,1,1,1,25,50,,,1,1,6,,6,1,4,39,4,1,3,,1,4,,,0,0,,97,,,,,,,3,,5,4,,,,,,,,,,,,,1,,,,,,,2,0,97,,,,,,,,,,,,3,14.516666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,14462,6.768802508,1,1,12712,1,Smartphone,1,1,2,5,2,13,3,7,WA,4,9,1,1,1,1,2,6,0,0,0,0,7,0,0,0,0,1,0,0,2,,,,,3
184239686,-1,05-12-2023 11:31,STGAutoWebSurveyor,5111308,64B539BG,00:16:23,05-12-2023 11:47,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-5,,,,05-12-2023 11:31,05-12-2023 11:47,N/A,-1,2,8,1,5111308,1,25,1,,1,7,8,,,,,,,,,,,,,,,,,,,,,,8,8,3,2,,1,1,99,,,,,,,4,3,,,,5,5,1,2,2,2,05-12-2023 09:10,3,,,,,,,,,,,,,,,,,,,,,2,2,1,2,3,2,3,1,3,1,,,,,,,,,,,4,4,3,4,3,3,2,2,3,3,4,4,3,3,2,05-12-2023 09:14,4,4,1,4,1,2,3,1,1,1,,1,1,1,4,1,1,1,3,2,2,3,2,,,,,,,,,,,1,1,1,1,1,2,2,40,100,,,1,1,2,,2,,3,25,4,1,4,,1,3,,,0,0,,97,,,,,,,3,,1,2,9,,,,,,,,,,,,1,,,,,,,2,0,97,,,,,,,,,,,,1,16.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,2,0,3,0,20786,1.355459429,1,1, ,1,Smartphone,1,4,3,5,1,5,1,3,TX,3,7,1,1,2,3,4,3,0,0,0,0,3,0,0,,0,1,0,0,2,,,,,3
184239796,-1,05-12-2023 11:37,STGAutoWebSurveyor,8506091,64B539BG,00:14:10,05-12-2023 11:51,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-4,,,,05-12-2023 11:37,05-12-2023 11:51,N/A,-1,2,8,1,8506091,1,43,1,,1,6,,,,,,,,,,,,,,,,,,,,,,3,6,6,,,,,3,99,,,,,,,,,,,5,2,,9,9,9,9,05-12-2023 09:10,3,,,,,,,,,,,,,,,,,,,,,3,1,1,2,1,2,1,1,2,1,,,,,,,,,,,1,1,1,1,1,3,2,1,4,2,3,3,2,,1,05-12-2023 09:16,3,5,1,1,1,5,3,1,3,5,,1,3,2,5,3,3,3,1,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,0,1,,,2,2,3,,1,,5,36,2,1,3,,1,,,5,2,0,1,97,,,,,,,3,,1,1,7,,,,,,,,,,,,2,,,,,,,2,2,3,,,,,,,,,,,,3,14.183333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,0,3,0,15926,0.328031096,1,1,13565,1,Smartphone,1,1,3,1,1,8,2,4,VA,3,5,0,1,1,1,4,5,0,2,0,0,3,0,0,0,0,1,2,0,4,,,,,3
184239867,-1,05-12-2023 11:41,STGAutoWebSurveyor,4911967,64B539BG,01:46:30,05-12-2023 01:28,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-4,,,,05-12-2023 11:41,05-12-2023 01:28,N/A,-1,2,8,1,4911967,1,46,1,,1,99,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,3,7,,,,,,,3,,,,,1,3,9,9,9,9,05-12-2023 09:13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,99,1,1,1,1,99,,3,05-12-2023 09:15,3,3,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,3,3,3,3,3,,,,,,,,,,,97,97,97,97,97,97,97,,,,,2,2,5,,4,2,,,1,1,1,,1,3,,,0,2,1,2,,,,,2,,2,,2,1,7,,,,,,,,,,,,2,,,,,,,2,0,97,,,,,,,,,,,,3,106.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,4,0,1,0,17290,0.299329978,1,1,19437,1,Desktop,1,1,3,1,1,9,2,5,MI,2,3,1,1,1,1,1,4,0,0,0,0,4,0,1,0,0,0,2,2,2,,,,,3
184240479,-1,05-12-2023 12:08,STGAutoWebSurveyor,3833704,64B539BG,00:09:11,05-12-2023 12:18,This interview is fraud (too short)!,12/31/9999 11:59,,,1,118,0,,Requires Approval,2,,,,05-12-2023 12:08,05-12-2023 12:17,N/A,-1,2,8,3,3833704,1,38,1,,1,8,,,,,,,,,,,,,,,,,,,,,,,8,8,,1,,,1,7,,,,,,,4,3,,,,4,5,2,2,2,2,05-12-2023 09:40,1,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,3,3,1,1,2,5,4,4,5,,2,05-12-2023 09:44,3,3,1,1,1,1,1,1,1,1,,1,1,1,4,1,1,1,3,2,2,3,3,,,,,,,,,,,1,1,1,1,1,2,2,10,50,,,1,2,1,,4,1,1,37,2,3,3,,1,3,,,0,0,,97,,,,,,,3,,2,1,4,,,,,,,,,,,,2,,,,,,,1,,97,,,,,,,,,,,,1,9.1999998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,0,2,0,18856,0.33585202,1,1, ,1,Smartphone,1,1,4,4,1,11,3,6,IN,2,3,1,1,1,1,4,2,0,0,0,0,2,0,1,,0,0,0,0,1,,,,,3
184240504,-1,05-12-2023 12:10,STGAutoWebSurveyor,7660556,64B539BG,00:06:40,05-12-2023 12:16,This interview is fraud (too short)!,12/31/9999 11:59,,,1,118,0,,Requires Approval,-5,,,,05-12-2023 12:10,05-12-2023 12:16,N/A,-1,2,8,3,7660556,1,21,1,,2,7,,,,,,,,,,,,,,,,,,,,,,,7,7,1,,,2,3,8,,,,,,,5,5,,,,3,3,9,9,9,9,05-12-2023 09:42,2,,,,,,,,,,,2,1,1,1,3,1,2,2,3,3,,,,,,,,,,,,,,,,,,,,,5,3,4,4,5,2,2,1,4,5,4,4,4,4,3,05-12-2023 09:44,4,3,5,5,4,4,2,4,4,3,,1,3,5,4,1,4,4,3,3,1,3,3,,,,,,,,,,,2,97,2,97,97,2,97,0,0,,,1,2,3,,5,2,,,3,4,5,,1,3,,,0,0,,1,,,,2,,,1,3,3,2,4,6,,,,,,,,,,,2,,,,,,,1,0,3,,,,,,,,,,,,1,6.6666665,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,3,1,17472,1.186047409,1,1, ,1,Smartphone,1,2,2,5,1,5,1,3,TN,3,6,1,1,3,3,4,3,0,0,1,0,2,0,0,1,0,0,0,2,1,,,,,3
184240713,-1,05-12-2023 12:18,STGAutoWebSurveyor,4348267,64B539BG,00:26:39,05-12-2023 12:45,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-4,,,,05-12-2023 12:18,05-12-2023 12:45,N/A,-1,2,8,1,4348267,1,44,1,,1,6,,,,,,,,,,,,,,,,,,,,,,4,6,6,,,,,2,7,8,,,,,,4,3,,,4,1,,2,2,2,2,05-12-2023 09:54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,1,2,1,2,2,2,3,3,3,3,3,2,1,3,3,3,4,6,,1,05-12-2023 09:59,3,3,2,2,2,2,2,1,3,2,,1,3,2,4,3,2,3,2,1,1,1,1,,,,,,,,,,,1,1,1,1,97,2,2,100,200,,,1,1,4,,6,1,5,42,3,2,3,,1,,,5,0,0,,1,2,,,1,1,,1,,1,7,,,,,,,,,,,,,5,,,,,,,1,0,2,,,,,,,,,,,,3,26.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,0,2,0,19351,2.73832835,1,1,15610,1,Smartphone,1,1,2,5,7,14,4,8,CT,1,1,1,1,1,1,4,1,0,0,0,0,1,0,1,1,0,0,0,2,1,,,,,3
