sbjnum,filter,date,srvyr,sbjnam,usrunq,duration,netduration,stgver,upload,subjdata,srvyrcomment,complete,stopq,test,parentid,utcdiff,qascore,frscname,exrenum,vstart,vend,rvwname,cancel,country,psuid,htype,confirm,rev01,gps,hhid,language,s01,s02,s03_o1,s03_o2,s03_o3,s03_o4,s03_o5,s03_o6,s03_o7,s03_o8,s03_o9,s03_o10,s03_o11,s03_o12,s03_o13,s03_o14,s03_o15,s03_o16,s03_98,irb1,a01,main_hv,t_a02_1,t_a02_2,t_a02_3,a03,a04_o1,a04_o2,a04_o3,a04_o4,a04_o5,a04_o6,a04_o7,a04_o8,a04_o9,a04_o10,a04_o11,a04_o12,a04_o13,a04_o14,a04_o15,a04_o16,a04_98_other,t_a06_1,t_a06_2,t_a06_3,t_a06_4,t_a07_1,t_a07_2,b01,t_b02_1,t_b02_2,t_b02_3,t_b02_4,t_b02_5,t_b02_6,t_b03_1,t_b03_2,t_b03_3,t_b03_4,b04,t_b05_1,t_b05_2,t_b05_3,t_b05_4,t_b05_5,t_b05_6,t_b06_1,t_b06_2,t_b06_3,t_b06_4,t_b06_5,t_b06_6,t_b07_1,t_b07_2,t_b07_3,t_b07_4,t_b08_1,t_b08_2,t_b08_3,b09,c_intro,c01,t_c02_1,t_c02_2,t_c02_3,t_c02_4,t_c03_1,t_c03_2,t_c03_3,t_c03_4,t_c03_5,t_c03_6,t_c04_1,t_c04_2,t_c04_3,t_c04_4,t_c04_5,t_c04_1_1,t_c04_1_2,t_c04_1_3,t_c04_1_4,t_c05_1,t_c05_2,t_c05_3,t_c05_4,t_c05_5,t_c05_6,t_c05_7,t_c05_8,t_c06_1,t_c06_2,t_c06_3,t_c06_4,t_c06_5,d01_o1,d01_o2,d01_o3,d01_o4,d01_o5,d01_o6,d01_o7,d01_o8,d01_o9,d01_o10,d01_o11,d01_o12,d01_o13,d01_o14,d01_s,d02_o1,d02_o2,d02_o3,d02_o4,d02_o5,d02_o6,d02_o7,d02_o8,d02_o9,d02_o10,d02_o11,d02_o12,d02_o13,d02_s,t_d03_1,t_d03_2,t_d03_3,t_d03_4,t_d03_5,t_d03_6,t_d03_7,t_d03_8,t_d03_9,t_d04_1,t_d04_2,t_d04_3,t_d04_4,d05_1,d05_2,d05_3,d06,e01,e01_checkpasswd,e02,e03,e04_1,t_e04_2_1,t_e04_2_2,t_e05_1,t_e05_2,e07_o1,e07_o2,e07_o3,e07_o4,s_e07_1,s_e07_2,s_e07_3,e07_more_hv,e08,e09,e11,f01,f01_98,f02,f03_o1,f03_o2,f03_o3,f03_o4,f03_o5,f03_o6,f03_98,f04,f04_98_other,f05a,f05b_o1,f05b_o2,f05b_o3,f05b_o4,f05b_o5,f05b_o6,f05b_o7,f05b_s,f05c,f05c_98_other,f05d_o1,f05d_o2,f05d_o3,f05d_o4,f05d_o5,f05d_o6,f05d_o7,f05d_o8,f05d_o9,f05d_o10,f05d_o11,f05d_o12,f05d_o13,f05d_s,f05e_o1,f05e_o2,f05e_o3,f05e_o4,f05e_o5,f05e_o6,f05e_o7,f05e_s,f05f_o1,f05f_o2,f05f_o3,f05f_o4,f05f_o5,f05f_o6,f05f_o7,f05f_o8,f05f_o9,f05f_o10,f05f_o11,f05f_s,f05g_o1,f05g_o2,f05g_o3,f05g_o4,f05g_o5,f05g_o6,f05g_o7,f05g_o8,f05g_s,f05h_o1,f05h_o2,f05h_o3,f05h_o4,f05h_o5,f05h_o6,f05h_o7,s03_1,s03_2,s03_3,s03_4,s03_5,s03_6,s03_7,s03_8,s03_9,s03_10,s03_15,s03_16,s03_97,s03_99,f03_1,f03_2,f03_3,f03_4,f03_5,f03_6,f03_7
165979635,-1,04-04-2022 03:21,VN.089,PC_Subject,,00:17:38,00:15:41,1.32.557.20849 PC,04-04-2022 03:38,"All steps are completed: PSUID=3171, HHID=135",,1,92,0,,7,,,,04-04-2022 03:21,04-04-2022 03:38,N/A,-1,Vietnam,3171,rural,Yes,,No,135,Vietnamese,Yes,25,Daily pill,,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,Weight gain,Regular periods,,,,,,,,,,,,,,,,,,,Satisfied,Definitely not,Definitely not,1 to 3 months,,,,,,,,,,,,Big problem,Big problem,Small problem,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,No change,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A moderate amount,A little,,,,500000,,,Married,3 to 5 years,We decide equally,,,0,1,Sons:,Daughters:,,,1,1,,More kids: E05 <E07,In the next 3 to 5 years,Never,Not in past year,High School(Year 10 - 12),,Throughout the year,"Other, specify:",,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165980050,-1,04-04-2022 03:40,VN.089,PC_Subject,,00:22:03,00:20:07,1.32.557.20849 PC,04-04-2022 04:02,"All steps are completed: PSUID=3171, HHID=103",,1,92,0,,7,,,,04-04-2022 03:40,04-04-2022 04:02,N/A,-1,Vietnam,3171,rural,Yes,,No,103,Vietnamese,Yes,31,Male condom,Withdrawal method / pulling out before ejaculation,,,,,,,,,,,,,,,,Consent obtained,Male condom,Male condom,Most of the time,Not often,,Want to avoid pregnancy at all costs,,,,,,,,,,,,,,,,,,Very Satisfied,Dissatisfied,,,Probably,Probably,Within 7 to 12 months,,,,,,,,,,,,Big problem,Big problem,Small problem,Big problem,Small problem,Big problem,Big problem,Big problem,Small problem,Big problem,Big problem,Big problem,Small problem,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,A lot more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A moderate amount,A moderate amount,,,,,,,Married,3 to 5 years,We decide equally,,,1,1,Sons:,Daughters:,,,2,2,,More kids: E05 <E07,99,Never,Not in past year,High School(Year 10 - 12),,Throughout the year,"Other, specify:",,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
165980490,-1,04-04-2022 04:05,VN.089,PC_Subject,,00:22:38,00:17:24,1.32.557.20849 PC,04-04-2022 04:27,"All steps are completed: PSUID=3257, HHID=141",,1,92,0,,7,,,,04-04-2022 04:05,04-04-2022 04:27,N/A,-1,Vietnam,3257,rural,Yes,,No,211,Vietnamese,Yes,29,1 or 2 pills taken after sex,Male condom,,,,,,,,,,,,,,,,Consent obtained,Male condom,Male condom,Most of the time,,,Want to avoid pregnancy at all costs,Regular periods,,,,,,,,,,,,,,,,,Very Satisfied,,,,Definitely not,Definitely not,3 to 5 years,,,,,,,,,,,,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,No change,Good thing,Good thing,Good thing,Good thing,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A little,A little,,,,50000,,,Married,6 - 9 years,We decide equally,,,0,2,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,In the next 3 to 5 years,1,Not in past year,High School(Year 10 - 12),,Do not work,,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,
165980969,-1,04-04-2022 04:29,VN.089,PC_Subject,,00:20:46,00:17:52,1.32.557.20849 PC,04-04-2022 04:50,"All steps are completed: PSUID=3171, HHID=156",,1,92,0,,7,,,,04-04-2022 04:29,04-04-2022 04:50,N/A,-1,Vietnam,3171,rural,Yes,,No,156,Vietnamese,Yes,35,Male condom,,,,,,,,,,,,,,,,,Consent obtained,Male condom,Male condom,Not often,,,Want to avoid pregnancy at all costs,,,,,,,,,,,,,,,,,,Satisfied,,,,Probably,Definitely,Use right away,,,,,,,,,,,,Small problem,Big problem,Small problem,Big problem,Small problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Big problem,Big problem,,,,"STI and HIV protection is nice to have, but not necessary",,Somewhat more involved,Good thing,Good thing,No difference,Good thing,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A lot,A lot,,,,,,,Married,10+ years,I usually decide,,,1,1,Sons:,Daughters:,,,2,1,,More kids: E05 <E07,Unsure,Never,1 time in past year,Graduate from university/college,,Throughout the year,"Other, specify:",,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165981350,-1,04-04-2022 04:52,VN.089,PC_Subject,,00:15:27,00:14:04,1.32.557.20849 PC,04-04-2022 05:07,"All steps are completed: PSUID=3156, HHID=227",,1,92,0,,7,,,,04-04-2022 04:52,04-04-2022 05:07,N/A,-1,Vietnam,3156,urban,Yes,,No,227,Vietnamese,Yes,22,Daily pill,,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,,,,"Want to avoid pregnancy, but would be ok if it happened",None,,,,,,,,,,,,,,,,,,,,Satisfied,Definitely not,Definitely not,1 to 2 years,,,,,,,,,,,,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A lot,A lot,,,,200000,,,Married,1 to 2 years,We decide equally,,,0,1,Sons:,Daughters:,,,1,1,,More kids: E05 <E07,In the next 3 to 5 years,Never,Not in past year,High School(Year 10 - 12),,Throughout the year,Clerical or sales,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165988515,-1,04-04-2022 08:42,VN.089,PC_Subject,,00:17:30,00:15:36,1.32.557.20849 PC,04-04-2022 09:00,"All steps are completed: PSUID=3285, HHID=213",,1,92,0,,7,,,,04-04-2022 08:42,04-04-2022 09:00,N/A,-1,Vietnam,3285,rural,Yes,,No,213,Vietnamese,Yes,25,Male condom,,,,,,,,,,,,,,,,,Consent obtained,Male condom,Male condom,Most of the time,,,Would be ok either way,,,,,,,,,,,,,,,,,,Neutral,,,,Might or might not,Might or might not,1 to 3 months,,,,,,,,,,,,Big problem,Big problem,Big problem,Big problem,Small problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,No change,Good thing,Good thing,Good thing,Good thing,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A lot,A lot,,,,,,,Married,1 to 2 years,We decide equally,,,0,0,Sons:,Daughters:,,,1,1,,More kids: E05 <E07,Within 1 year,Never,Not in past year,Graduate from university/college,,Do not work,,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
166018443,-1,04-05-2022 11:53,VN.089,PC_Subject,,00:17:46,00:15:02,1.32.557.20849 PC,04-05-2022 12:11,"All steps are completed: PSUID=3156, HHID=145",,1,92,0,,7,,,,04-05-2022 11:53,04-05-2022 12:11,N/A,-1,Vietnam,3156,urban,Yes,,No,145,Vietnamese,Yes,22,Male condom,,,,,,,,,,,,,,,,,Consent obtained,Male condom,Male condom,All the time,,,Want to avoid pregnancy at all costs,,,,,,,,,,,,,,,,,,Satisfied,,,,Definitely not,Definitely not,4 to 6 months,,,,,,,,,,,,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A lot,A lot,,,,,,,Married,1 to 2 years,We decide equally,,,0,0,Sons:,Daughters:,,,1,1,,More kids: E05 <E07,In the next 1 to 2 years,Never,Not in past year,Graduate from associate/vocational school,,Throughout the year,Clerical or sales,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
166023282,-1,04-05-2022 03:44,VN.089,PC_Subject,,00:23:20,00:19:51,1.32.557.20849 PC,04-05-2022 04:08,"All steps are completed: PSUID=3242, HHID=106",,1,92,0,,7,,,,04-05-2022 03:44,04-05-2022 04:08,N/A,-1,Vietnam,3242,rural,Yes,,No,106,Vietnamese,Yes,40,Daily pill,Male condom,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,Half of the time,,,"Want to avoid pregnancy, but would be ok if it happened",None,,,,,,,,,,,,,,,,,Satisfied,,,Satisfied,Might or might not,Might or might not,1 to 3 months,,,,,,,,,,,,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Small problem,Big problem,Small problem,Small problem,Big problem,Small problem,,,,STI and HIV protection is a must-have,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A moderate amount,A moderate amount,,,,200000,,,Married,10+ years,We decide equally,,,1,1,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,Never,Not in past year,High School(Year 10 - 12),,Throughout the year,"Other, specify:",,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
166023798,-1,04-05-2022 04:08,VN.089,PC_Subject,,00:20:21,00:18:17,1.32.557.20849 PC,04-05-2022 04:29,"All steps are completed: PSUID=3242, HHID=209",,1,92,0,,7,,,,04-05-2022 04:08,04-05-2022 04:28,N/A,-1,Vietnam,3242,rural,Yes,,No,209,Vietnamese,Yes,36,Daily pill,Male condom,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,Half of the time,,,"Want to avoid pregnancy, but would be ok if it happened",None,,,,,,,,,,,,,,,,,Very Satisfied,,,Very Satisfied,Definitely not,Definitely not,1 to 3 months,,,,,,,,,,,,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Big problem,Big problem,Small problem,Big problem,Small problem,Small problem,Not a problem at all,Small problem,Big problem,Small problem,,,,STI and HIV protection is a must-have,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A moderate amount,A moderate amount,A moderate amount,,,,250000,,,Married,10+ years,We decide equally,,,1,1,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,Never,Not in past year,High School(Year 10 - 12),,Throughout the year,"Other, specify:",,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
166024385,-1,04-05-2022 04:30,VN.089,PC_Subject,,00:16:58,00:15:31,1.32.557.20849 PC,04-05-2022 04:47,"All steps are completed: PSUID=3242, HHID=244",,1,92,0,,7,,,,04-05-2022 04:30,04-05-2022 04:47,N/A,-1,Vietnam,3242,rural,Yes,,No,244,Vietnamese,Yes,38,Daily pill,Male condom,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,Half of the time,,,"Want to avoid pregnancy, but would be ok if it happened",Regular periods,,,,,,,,,,,,,,,,,Satisfied,,,Very Satisfied,Probably not,Probably not,1 to 3 months,,,,,,,,,,,,Big problem,Small problem,Big problem,Big problem,Small problem,Small problem,Big problem,Big problem,Small problem,Big problem,Small problem,Small problem,Not a problem at all,Small problem,Small problem,Small problem,,,,STI and HIV protection is a must-have,,A lot more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A moderate amount,A moderate amount,,,,200000,,,Married,10+ years,We decide equally,,,2,0,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,Unsure,Never,Not in past year,High School(Year 10 - 12),,Throughout the year,"Other, specify:",,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
166025086,-1,04-05-2022 04:48,VN.089,PC_Subject,,00:21:21,00:17:14,1.32.557.20849 PC,04-05-2022 05:09,"All steps are completed: PSUID=3242, HHID=261",,1,92,0,,7,,,,04-05-2022 04:48,04-05-2022 05:09,N/A,-1,Vietnam,3242,rural,Yes,,No,261,Vietnamese,Yes,36,Daily pill,Male condom,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,Half of the time,,,"Want to avoid pregnancy, but would be ok if it happened",None,,,,,,,,,,,,,,,,,Satisfied,,,Satisfied,Might or might not,Might or might not,1 to 3 months,,,,,,,,,,,,Big problem,Small problem,Big problem,Big problem,Small problem,Big problem,Big problem,Big problem,Small problem,Big problem,Small problem,Small problem,Not a problem at all,Small problem,Big problem,Small problem,,,,STI and HIV protection is a must-have,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A moderate amount,A moderate amount,A moderate amount,,,,200000,,,Married,10+ years,We decide equally,,,1,1,Sons:,Daughters:,,,1,2,,More kids: E05 <E07,Unsure,Never,Not in past year,High School(Year 10 - 12),,Throughout the year,"Other, specify:",,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
166025572,-1,04-05-2022 05:10,VN.089,PC_Subject,,00:15:28,00:14:08,1.32.557.20849 PC,04-05-2022 05:25,"All steps are completed: PSUID=3108, HHID=283",,1,92,0,,7,,,,04-05-2022 05:10,04-05-2022 05:25,N/A,-1,Vietnam,3108,urban,Yes,,No,283,Vietnamese,Yes,29,Withdrawal method / pulling out before ejaculation,,,,,,,,,,,,,,,,,Consent obtained,Withdrawal method / pulling out before ejaculation,Withdrawal method / pulling out before ejaculation,,All the time,,Want to avoid pregnancy at all costs,,,,,,,,,,,,,,,,,,,Satisfied,,,Probably not,Probably not,3 to 5 years,,,,,,,,,,,,Big problem,Big problem,Not a problem at all,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Small problem,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,A lot more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A lot,A little,,,,,,,Married,6 - 9 years,We decide equally,,,1,1,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,1,Not in past year,High School(Year 10 - 12),,Throughout the year,Clerical or sales,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
166062872,-1,04-06-2022 11:13,VN.089,PC_Subject,,00:18:56,00:17:02,1.32.557.20849 PC,04-06-2022 11:32,"All steps are completed: PSUID=3139, HHID=238",,1,92,0,,7,,,,04-06-2022 11:13,04-06-2022 11:32,N/A,-1,Vietnam,3139,urban,Yes,,No,283,Vietnamese,Yes,36,Daily pill,Male condom,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,Not often,,,Want to avoid pregnancy at all costs,None,,,,,,,,,,,,,,,,,Satisfied,,,Satisfied,Definitely not,Definitely not,1 to 2 years,,,,,,,,,,,,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A lot,A lot,,,,300000,,,Married,10+ years,We decide equally,,,0,2,Daughters:,,,,,2,,Don't want more: E05≥ E07,,2,Not in past year,Graduate from associate/vocational school,,Throughout the year,Clerical or sales,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
166063168,-1,04-06-2022 11:23,VN.120,PC_Subject,,00:22:17,00:14:58,1.32.557.20849 PC,04-06-2022 11:45,"All steps are completed: PSUID=3203, HHID=117",,1,92,0,,7,,,,04-06-2022 11:23,04-06-2022 11:45,N/A,-1,Vietnam,3203,rural,Yes,,No,117,Vietnamese,Yes,32,Male condom,Withdrawal method / pulling out before ejaculation,,,,,,,,,,,,,,,,Consent obtained,Withdrawal method / pulling out before ejaculation,Withdrawal method / pulling out before ejaculation,Not often,Most of the time,,"Want to avoid pregnancy, but would be ok if it happened",,,,,,,,,,,,,,,,,,Satisfied,Satisfied,,,Probably,Probably,3 to 5 years,,,,,,,,,,,,Big problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Small problem,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A little,A moderate amount,,,,,,,Married,10+ years,I usually decide,,,0,2,Sons:,Daughters:,,,0,2,,Don't want more: E05≥ E07,,Never,Not in past year,Middle(Year 6 - 9),,Do not work,,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
166063231,-1,04-06-2022 11:32,VN.089,PC_Subject,,00:17:09,00:15:15,1.32.557.20849 PC,04-06-2022 11:49,"All steps are completed: PSUID=3139, HHID=202",,1,92,0,,7,,,,04-06-2022 11:32,04-06-2022 11:49,N/A,-1,Vietnam,3139,urban,Yes,,No,202,Vietnamese,Yes,45,Implant,,,,,,,,,,,,,,,,,Consent obtained,Implant,Implant,,,,Want to avoid pregnancy at all costs,None,,,,,,,,,,,,,,,,,,,,Satisfied,Definitely not,Definitely not,1 to 2 years,,,,,,,,,,,,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A lot,A lot,,,,100000,,,Married,10+ years,I usually decide,,,2,0,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,99,1,Not in past year,Graduate from university/college,,Throughout the year,Clerical or sales,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
