sbjnum,filter,date,interviewtimedate,srvyr,sbjnam,usrunq,duration,upload,interviewtimeupload,subjdata,complete,stopq,test,parentid,utcdiff,qascore,frscname,exrenum,vstart,interviewtimevstart,vend,interviewtimevend,rvwname,cancel,srvtype,country,psuid,htype,confirm,rev01,gps,hhid,language,s01,s02,s03_o1,s03_o2,s03_o3,s03_o4,s03_o5,s03_o6,s03_o7,s03_o8,s03_o9,s03_o10,s03_o11,s03_o12,s03_o13,s03_o14,s03_o15,s03_o16,s03_98_oth,irb_gps_la,irb_gps_lo,irb1,a01,main_hv,t_a02_1,t_a02_2,t_a02_3,a03,a04_o1,a04_o2,a04_o3,a04_o4,a04_o5,a04_o6,a04_o7,a04_o8,a04_o9,a04_o10,a04_o11,a04_o12,a04_o13,a04_o14,a04_o15,a04_o16,a04_98_oth,a05_o1,a05_o2,a05_o3,a05_o4,a05_o5,a05_o6,a05_o7,a05_o8,a05_o9,a05_o10,a05_o11,a05_o12,a05_o13,a05_o14,a05_o15,a05_o16,a05_98_oth,t_a06_1,t_a06_2,t_a06_3,t_a06_4,t_a07_1,t_a07_2,b_intro_timestamp,b01,t_b02_1,t_b02_2,t_b02_3,t_b02_4,t_b02_5,t_b02_6,t_b03_1,t_b03_2,t_b03_3,t_b03_4,b04,t_b05_1,t_b05_2,t_b05_3,t_b05_4,t_b05_5,t_b05_6,t_b06_1,t_b06_2,t_b06_3,t_b06_4,t_b06_5,t_b06_6,t_b07_1,t_b07_2,t_b07_3,t_b07_4,t_b07_1_1,t_b07_1_2,t_b07_1_3,t_b08_1,t_b08_2,t_b08_3,b9_timestamp,b09,c_intro,c01_gps_la,c01_gps_lo,c01,t_c02_1,t_c02_2,t_c02_3,t_c02_4,t_c03_1,t_c03_2,t_c03_3,t_c03_4,t_c03_5,t_c03_6,t_c04_1,t_c04_2,t_c04_3,t_c04_4,t_c04_5,t_c04_1_1,t_c04_1_2,t_c04_1_3,t_c04_1_4,t_c05_1,t_c05_2,t_c05_3,t_c05_4,t_c05_5,t_c05_6,t_c05_8,t_c06_1,t_c06_2,t_c06_3,t_c06_5,d01_o1,d01_o2,d01_o3,d01_o4,d01_o5,d01_o6,d01_o7,d01_o8,d01_o9,d01_o10,d01_o11,d01_o12,d01_o13,d01_o14,d01_98_oth,t_d03_1,t_d03_2,t_d03_3,t_d03_4,t_d03_5,t_d03_6,t_d03_7,t_d03_8,t_d03_9,t_d04_1,t_d04_2,t_d04_3,t_d04_4,d05_1,d05_2,d05_3,d06,e_intro_timestamp,e01,e01_checkpasswd,e02,e03,e04_1,t_e04_2_1,t_e04_2_2,t_e05_1,t_e05_2,e06,e07_o1,e07_o2,e07_o3,e07_o4,s_e07_1,s_e07_2,s_e07_3,e07_more_hv,e08,e09,e10_o1,e10_o2,e10_o3,e10_o4,e10_o5,e11,f01_gps_la,f01_gps_lo,f01,f01_s,f02,f03_o1,f03_o2,f03_o3,f03_o4,f03_o5,f03_o6,f03_98,f04_1_o1,f04_1_o2,f04_1_o3,f04_1_o4,f04_1_o5,f04_1_o6,f04_1_o7,f04_1_o8,f04_1_o9,f04_1_o10,f04_1_o11,s_f04_1_98,f04_2,q_97_s,f05a,f05b,q_101_s,f05c_o1,f05c_o2,f05c_o3,f05c_o4,f05c_o5,f05c_o6,f05c_s,f05d,q_103_s,f05e_o1,f05e_o2,f05e_o3,f05e_o4,f05e_o5,f05e_o6,f05e_o7,f05e_s,f05f_o1,f05f_o2,f05f_o3,f05f_o4,f05f_o5,f05f_o6,f05f_o7,f05f_o8,f05f_o9,f05f_o10,f05f_o11,f05f_s,f05g_o1,f05g_o2,f05g_o3,f05g_o4,f05g_o5,f05g_o6,f05g_o7,f05g_o8,f05g_s,f05h_o1,f05h_o2,f05h_o3,f05h_o4,f05h_o5,f05h_o6,f05h_o7,term,S03_S_Translated,A04_S_Translated,A05_S_Translated,D01_S_Translated,F01_S_Translated,F03_S_Translated,F03_Code,s03_1,s03_2,s03_3,s03_4,s03_5,s03_6,s03_7,s03_8,s03_9,s03_10,s03_97,s03_99,s03_98,a04_1,a04_2,a04_3,a04_4,a04_5,a04_6,a04_7,a04_8,a04_9,a04_10,a04_11,a04_12,a04_13,a04_97,a04_99,a04_98,a05_1,a05_2,a05_3,a05_4,a05_5,a05_6,a05_7,a05_8,a05_9,a05_10,a05_97,a05_99,a05_98,d01_1,d01_2,d01_3,d01_4,d01_5,d01_6,d01_7,d01_8,d01_9,d01_10,d01_11,d01_12,d01_99,d01_98,f03_1,f03_2,f03_3,f03_4,f03_5
167780277,-1,5/21/2022 11:30,5/21/2022 12:00,BD.055,Android_Subject,,01:11:24,5/21/2022 12:42,5/21/2022 1:12,"All steps are completed: PSUID=2272, HHID=202",1,108,0,,6,,,,5/21/2022 11:30,5/21/2022 12:00,5/21/2022 12:42,5/21/2022 1:12,N/A,-1,CAPI,Bangladesh,2272,rural,Yes,,No,202,Bengali,Yes,22,Daily pill,,,,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,Weight gain,Heavier periods,,,,,,,,,,,,,,,,Male condom,Withdrawal method / pulling out before ejaculation,,,,,,,,,,,,,,,,Satisfied,Satisfied,,Satisfied,Definitely not,Definitely not,5/21/2022 12:10,4 to 6 months,Definitely,Definitely,Definitely,Might or might not,Definitely not,Definitely not,Definitely,Probably,Probably,Probably,12 months,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Definitely,Definitely,Definitely,5/21/2022 12:25,STI and HIV protection is a must-have,,,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Big problem,Small problem,Big problem,Big problem,Mother,Partner / husband/boyfriend,"Doctor - clinician, nurse",,,,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A lot,A lot,A little,A little,Very easy,,,35,5/21/2022 12:40,Several times a week,9753,Married,3 to 5 years,We decide equally,,,1,0,,Sons:,Daughters:,,,1,2,,More kids: E05 <E07,In the next 1 to 2 years,Never,,,,,,Not in past year,,,Higher secondary ( Year 11 - 12),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,,,,
167780418,-1,5/21/2022 12:05,5/21/2022 12:35,BD.052,Android_Subject,,00:43:37,5/21/2022 12:50,5/21/2022 1:20,"All steps are completed: PSUID=2117, HHID=167",1,108,0,,6,,,,5/21/2022 12:05,5/21/2022 12:35,5/21/2022 12:49,5/21/2022 1:19,N/A,-1,CAPI,Bangladesh,2117,urban,Yes,,No,167,Bengali,Yes,52,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,22.3087053,90.0916166,Consent obtained,We do nothing to avoid pregnancy,,,,,Want to avoid pregnancy at all costs,,,,,,,,,,,,,,,,,,Daily pill,IUD/ Intrauterine device,,,,,,,,,,,,,,,,,,,,Definitely not,Definitely not,5/21/2022 12:38,Never,,,,,,,,,,,,Big problem,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Probably,Probably,Probably,5/21/2022 12:46,STI and HIV protection is a must-have,,,,A lot less involved,,,,,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Not a problem at all,Big problem,Big problem,Big problem,Sister or female cousin / relative,Partner / husband/boyfriend,Community Health Worker{0},,,,,,,,,,,,,Not at all,Never heard about it,Not at all,Not at all,Never heard about it,Not at all,Not at all,Every day / almost every day,Not at all,A lot,A moderate amount,A moderate amount,A little,,,,,5/21/2022 1:04,Several times a month,9753,Married,10+ years,We decide equally,,,2,0,1 man,Sons:,Daughters:,Either:,,1,1,2,More kids: E05 <E07,Don't want more kids,1,Had the baby,,,,,Not in past year,22.3089779,90.0915261,Primary ( Year 1 - 5),,Do not work,,,,,,,,,,,,,,,,,,,,Hindu,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,,,
167780522,-1,5/21/2022 11:57,5/21/2022 12:27,BD.065,Android_Subject,,00:34:28,5/21/2022 12:55,5/21/2022 1:25,"All steps are completed: PSUID=2170, HHID=168",1,108,0,,6,,,,5/21/2022 11:57,5/21/2022 12:27,5/21/2022 12:31,5/21/2022 1:01,N/A,-1,CAPI,Bangladesh,2170,urban,Yes,,No,168,Bengali,Yes,27,Daily pill,,,,,,,,,,,,,,,,,24.0410466,90.9794745,Consent obtained,Daily pill,Pill,,,,Would be ok either way,None,,,,,,,,,,,,,,,,,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,,,,Very Satisfied,Definitely not,Definitely not,5/21/2022 12:59,1 to 2 years,Might or might not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Probably,Definitely,Definitely,2 years,Not a problem at all,Big problem,Not a problem at all,Not a problem at all,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Definitely,Definitely,Definitely,5/21/2022 12:59,STI and HIV protection is a must-have,,24.0410466,90.9794745,A lot more involved,Good thing,Good thing,Good thing,Bad thing,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Partner never used condom,Partner never used condom,Big problem,Big problem,Partner / husband/boyfriend,,,,,,,,,,,,,,,Not at all,Never heard about it,Never heard about it,Not at all,Never heard about it,Not at all,Not at all,Every day / almost every day,Not at all,A lot,Not at all,Not at all,Never visited/ heard about them,Very easy,,,10,5/21/2022 12:59,Several times a week,9753,Married,10+ years,We decide equally,,,3,0,1 man,Undecided,,,,,,,Undecided: E07=97,,Never,,,,,,Not in past year,24.0410466,90.9794745,Primary ( Year 1 - 5),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,
167780929,-1,5/21/2022 9:59,5/21/2022 10:29,BD.064,Android_Subject,,00:47:24,5/21/2022 1:18,5/21/2022 1:48,"All steps are completed: PSUID=2196, HHID=154",1,108,0,,6,,,,5/21/2022 9:59,5/21/2022 10:29,5/21/2022 10:46,5/21/2022 11:16,N/A,-1,CAPI,Bangladesh,2196,rural,Yes,,No,154,Bengali,Yes,50,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,22.3579075,89.0160221,Consent obtained,We do nothing to avoid pregnancy,,,,,Want to avoid pregnancy at all costs,,,,,,,,,,,,,,,,,,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,,,,,Probably,Probably,5/21/2022 10:37,3 to 5 years,Probably not,Probably not,Probably not,Probably not,Definitely not,Probably not,Definitely,Definitely,Definitely,Definitely,5 years,Small problem,Small problem,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Small problem,Small problem,Big problem,Small problem,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Definitely,Definitely,Definitely,5/21/2022 10:45,"STI and HIV protection is nice to have, but not necessary",,22.3577293,89.0158365,Somewhat less involved,Good thing,Good thing,Good thing,Good thing,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Big problem,Small problem,Big problem,Big problem,Partner / husband/boyfriend,,,,,,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A lot,A moderate amount,A lot,A lot,,,,,5/21/2022 11:00,Once a month,9753,Married,10+ years,We decide equally,,,2,2,1 man,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,3,Ended pregnancy before it came to term,,,,,Not in past year,22.357685,89.0157825,Primary ( Year 1 - 5),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,
167780990,-1,5/21/2022 12:29,5/21/2022 12:59,BD.060,Android_Subject,,00:51:35,5/21/2022 1:21,5/21/2022 1:51,"All steps are completed: PSUID=2170, HHID=200",1,108,0,,6,,,,5/21/2022 12:29,5/21/2022 12:59,5/21/2022 1:21,5/21/2022 1:51,N/A,-1,CAPI,Bangladesh,2170,urban,Yes,,No,200,Bengali,Yes,18,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,,,Consent obtained,We do nothing to avoid pregnancy,,,,,Want a pregnancy at this time,,,,,,,,,,,,,,,,,,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,,,,,Probably not,Definitely not,5/21/2022 1:02,Never,,,,,,,,,,,,Big problem,Not a problem at all,Not a problem at all,Big problem,Not a problem at all,Not a problem at all,Big problem,Big problem,Small problem,Big problem,Small problem,Small problem,Not a problem at all,Small problem,Small problem,Big problem,Small problem,Big problem,Big problem,Probably,No difference,Probably,5/21/2022 1:14,STI and HIV protection is a must-have,,24.0431491,90.9804859,Somewhat less involved,,,,,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Partner never used condom,Partner never used condom,Partner never used condom,Partner never used condom,Partner / husband/boyfriend,,,,,,,,,,,,,,,Less than once a week,Never heard about it,Never heard about it,Less than once a week,Never heard about it,Less than once a week,Not at all,At least once a week,Never heard about it,A lot,A lot,A moderate amount,A lot,,,,,5/21/2022 1:30,Several times a week,9753,Married,1 to 2 years,We decide equally,,,0,0,,Undecided,,,,,,,Undecided: E07=97,,Never,,,,,,Never used / not aware of this method,,,Primary ( Year 1 - 5),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,
167781024,-1,5/21/2022 12:12,5/21/2022 12:42,BD.053,Android_Subject,,01:12:16,5/21/2022 1:23,5/21/2022 1:53,"All steps are completed: PSUID=2272, HHID=171",1,108,0,,6,,,,5/21/2022 12:12,5/21/2022 12:42,5/21/2022 1:24,5/21/2022 1:54,N/A,-1,CAPI,Bangladesh,2272,rural,Yes,,No,171,Bengali,Yes,37,Daily pill,,,,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,Headache,Nausea,,,,,,,,,,,,,,,,Male condom,,,,,,,,,,,,,,,,,Satisfied,,,Satisfied,Definitely not,Definitely not,5/21/2022 1:18,1 to 3 months,Definitely,Probably not,Probably not,Definitely not,Definitely not,Definitely not,Probably not,Probably,Definitely,Definitely,3 months,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Small problem,Big problem,Big problem,Small problem,Not a problem at all,Big problem,Small problem,Definitely,Probably,Definitely,5/21/2022 1:34,STI and HIV protection is a must-have,,,,A lot more involved,Good thing,Good thing,Good thing,Bad thing,Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Not a problem at all,Small problem,Big problem,Big problem,Partner / husband/boyfriend,"Doctor - clinician, nurse",,,,,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,At least once a week,Not at all,A lot,A lot,A lot,A little,Very easy,,,30,5/21/2022 1:48,Once a week,9753,Married,10+ years,We decide equally,,,1,1,1 man,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,1,Ended pregnancy before it came to term,,,,,Not in past year,,,Primary ( Year 1 - 5),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,
167781187,-1,5/21/2022 8:32,5/21/2022 9:02,BD.054,Android_Subject,,01:00:24,5/21/2022 1:29,5/21/2022 1:59,"All steps are completed: PSUID=2129, HHID=114",1,108,0,,6,,,,5/21/2022 8:32,5/21/2022 9:02,5/21/2022 9:33,5/21/2022 10:03,N/A,-1,CAPI,Bangladesh,2129,rural,Yes,,No,114,Bengali,Yes,22,Daily pill,,,,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,Headache,Nausea,,,,,,,,,,,,,,,,Injection,,,,,,,,,,,,,,,,,,,,Very Satisfied,Definitely not,Definitely not,5/21/2022 9:09,1 to 3 months,Definitely,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely,Definitely,Definitely,Definitely,12 months,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Definitely,Probably,Definitely,5/21/2022 9:32,STI and HIV protection is a must-have,,22.3510278,92.0850621,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Partner never used condom,Partner never used condom,Partner never used condom,Partner never used condom,Community Health Worker{0},,,,,,,,,,,,,,,At least once a week,Never heard about it,Not at all,Every day / almost every day,Not at all,Not at all,Not at all,Not at all,Not at all,A lot,A lot,A lot,A lot,Very easy,,,35,5/21/2022 9:55,Several times a week,9753,Married,6 - 9 years,We decide equally,,,1,1,1 man,Sons:,Daughters:,,,2,1,,More kids: E05 <E07,In the next 3 to 5 years,Never,,,,,,Not in past year,22.3509485,92.0853029,Middle ( Year 6 - 8),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
167781188,-1,5/21/2022 10:15,5/21/2022 10:45,BD.054,Android_Subject,,00:41:15,5/21/2022 1:29,5/21/2022 1:59,"All steps are completed: PSUID=2129, HHID=129",1,108,0,,6,,,,5/21/2022 10:15,5/21/2022 10:45,5/21/2022 10:56,5/21/2022 11:26,N/A,-1,CAPI,Bangladesh,2129,rural,Yes,,No,129,Bengali,Yes,27,Daily pill,,,,,,,,,,,,,,,,,22.3491636,92.0870209,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,None,,,,,,,,,,,,,,,,,Injection,,,,,,,,,,,,,,,,,,,,Very Satisfied,Definitely not,Definitely not,5/21/2022 10:51,4 to 6 months,Definitely,Probably,Probably,Probably,Probably,Probably,Probably,Probably,Probably,Probably,12 months,Small problem,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Not a problem at all,Definitely,Definitely,Definitely,5/21/2022 11:05,STI and HIV protection is a must-have,,,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Big problem,Small problem,Big problem,Big problem,Friend,Partner / husband/boyfriend,,,,,,,,,,,,,,At least once a week,Never heard about it,Not at all,At least once a week,Never heard about it,Not at all,Not at all,Not at all,Not at all,A lot,A lot,A lot,A lot,Somewhat difficult,,,30,5/21/2022 11:21,Several times a week,9753,Married,10+ years,We decide equally,,,1,1,1 man,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,Never,,,,,,Not in past year,,,Primary ( Year 1 - 5),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
167781189,-1,5/21/2022 11:53,5/21/2022 12:23,BD.054,Android_Subject,,00:46:46,5/21/2022 1:29,5/21/2022 1:59,"All steps are completed: PSUID=2129, HHID=156",1,108,0,,6,,,,5/21/2022 11:53,5/21/2022 12:23,5/21/2022 12:40,5/21/2022 1:10,N/A,-1,CAPI,Bangladesh,2129,rural,Yes,,No,156,Bengali,Yes,21,Daily pill,,,,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,Nausea,,,,,,,,,,,,,,,,,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,,,,Very Satisfied,Definitely not,Definitely not,5/21/2022 12:28,Use right away,Probably,Definitely,Might or might not,Probably,Probably,Probably,Definitely,Definitely,Probably,Probably,3 months,Big problem,Small problem,Small problem,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Big problem,Small problem,Small problem,Small problem,Big problem,Not a problem at all,Big problem,Big problem,Small problem,Big problem,Small problem,Definitely,Probably,Definitely,5/21/2022 12:50,STI and HIV protection is a must-have,,22.3498838,92.0884944,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Partner never used condom,Partner never used condom,Partner never used condom,Partner never used condom,Partner / husband/boyfriend,,,,,,,,,,,,,,,Not at all,Never heard about it,Not at all,Not at all,Never heard about it,Not at all,Not at all,Not at all,Not at all,A moderate amount,A little,A moderate amount,A moderate amount,Somewhat easy,,,55,5/21/2022 1:05,Several times a week,9753,Married,3 to 5 years,We decide equally,,,1,0,,Sons:,Daughters:,,,2,1,,More kids: E05 <E07,In the next 1 to 2 years,Never,,,,,,Not in past year,22.3499582,92.0895416,Primary ( Year 1 - 5),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,
167781653,-1,5/21/2022 1:01,5/21/2022 1:31,BD.061,Android_Subject,,00:47:02,5/21/2022 1:48,5/21/2022 2:18,"All steps are completed: PSUID=2117, HHID=142",1,108,0,,6,,,,5/21/2022 1:01,5/21/2022 1:31,5/21/2022 1:48,5/21/2022 2:18,N/A,-1,CAPI,Bangladesh,2117,urban,Yes,,Yes,142,Bengali,Yes,41,Daily pill,,,,,,,,,,,,,,,,,22.3063869,90.0908021,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,Regular periods,Lighter periods,,,,,,,,,,,,,,,,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,,,,Very Satisfied,Probably not,Probably,5/21/2022 1:38,1 to 3 months,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely,Definitely,Definitely,Definitely,Good for life / until it has to be taken out,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Definitely,Definitely,Definitely,5/21/2022 1:54,STI and HIV protection is a must-have,,22.3063338,90.0906924,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Big problem,Big problem,Big problem,Big problem,Partner / husband/boyfriend,,,,,,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Every day / almost every day,Not at all,A lot,A moderate amount,A little,A moderate amount,Very easy,,,0,5/21/2022 2:10,Several times a week,9753,Married,10+ years,We decide equally,,,2,0,1 man,Sons:,Daughters:,,,1,1,,More kids: E05 <E07,Don't want more kids,1,Had the baby,,,,,Not in past year,22.3063939,90.0905941,Middle ( Year 6 - 8),,Throughout the year,"Agricultural (farming, livestock, fishing)",,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
